Job Title,Company,Location,Salary Estimate,Rating,Description,Headquarters,Size,Founded,Ownership,Industry,Sector,Revenue,Competitors
Data Scientist,Sunlighten,"Leawood, KS",$74K - $125K (Glassdoor est.),3.4,-1,-1,-1,-1,-1,-1,-1,-1,-1
Machine Learning Engineer,"Trunk Tools, Inc.","Austin, TX",$140K - $200K (Employer provided),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Staff Data Scientist,PayPal,"San Jose, CA",$153K - $262K (Employer provided),3.6,-1,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist (N),SimIS Inc.,"Norfolk, VA",$77K - $140K (Glassdoor est.),4.0,"ONSITE

Who We Are: Founded in 2007, SimIS Inc. is an innovative information technology solution Veteran Owned Small Business (VOSB) that models future environments, requirements, and capabilities, and then secures the enterprise from internal and external threats compliant with Federal, State, and industry standard governance to ensure client mission success. Our performance standard is “excellence,” with an outcomes-based, quality focus in our services and products, guided by our core values o...",-1,1 to 50 Employees,2007,Company - Private,National Agencies,Government & Public Administration,$1 to $5 million (USD),-1
DATA SCIENTIST 2,HII,"Newport News, VA",$59K - $103K (Glassdoor est.),3.5,"Req ID: 43336
Team: E81 NUC PRP-OVHL ENG
Entity: Newport News Shipbuilding
US Citizenship Required for this Position: Yes
Full-Time
Shift: 1st
Relocation: Relocation assistance will be available
Virtual/Telework Opportunity: No - Not eligible for telework
Travel Requirement: Yes, up to 10% of the time
Clearance Required: No - Clearance Not Required to Start",-1,10000+ Employees,2011,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
Supply Chain Data Scientist,Hewlett Packard,"Spring, TX",$147K - $233K (Employer provided),4.0,"HP is the world’s leading personal systems and printing company, dedicated to creating technology that enriches lives everywhere. Our innovation thrives on the passion, talent, and curiosity of our people—each bringing unique perspectives, expertise, and ideas to shape the future of how the world works and lives.
Join HP’s Strategic Planning and Modeling (SPaM) Data Science Team – Where Vision Meets Impact
Are you a visionary thinker with a passion for learning and innovation? Join our Strategic...",-1,10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1
Machine Learning Engineer,PayPal,"San Jose, CA",$112K - $192K (Employer provided),3.6,-1,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,"Fullpower Technologies, Inc.","Santa Cruz, CA",$130K - $170K (Employer provided),4.1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Data Scientist, Marketing",Home Depot / THD,"Atlanta, GA",$131K - $179K (Glassdoor est.),3.8,-1,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist I,University of Rochester,"Rochester, NY",$60K - $85K (Employer provided),3.7,-1,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,Skai,"San Francisco, CA",$130K - $145K (Employer provided),-1,"Ready to take your career to the next level?
Skai (formally Kenshoo) is looking for the best and the brightest to join our rapidly growing team. We're proud of our industry-leading digital marketing software but we're even prouder of the people behind it. That's where you come in!

Data Scientist (Mid-Level)
We are seeking a mid-level Data Scientist with expertise in Natural Language Processing and Generative AI who can deliver production-quality code and solutions. In this role, you will design...",-1,1 to 50 Employees,--,Unknown,--,--,Unknown / Non-Applicable,-1
Sr Data Scientist,James Hardie,"Chicago, IL",$120K - $145K (Employer provided),3.9,"About James Hardie
James Hardie is the industry leader in exterior home and outdoor living solutions, with a portfolio that includes fiber cement, fiber gypsum, composite and PVC decking and railing products. Our family of trusted brands includes Hardie®, TimberTech®, AZEK® Exteriors, Versatex®, fermacell®, and StruXure®.

With over 8,000 employees and our U.S. operating entities headquartered in Chicago, we boast 31 operating sites, 6 recycling facilities, and 6 research and development centers...",-1,5001 to 10000 Employees,1888,Company - Public,Machinery Manufacturing,Manufacturing,$1 to $5 billion (USD),-1
Data Scientist,Sasol,"Brazil, IN",$68K - $116K (Glassdoor est.),3.9,"Posting Date: Oct 25, 2025
Location: Brazil, United States
Company: Sasol
A job at Sasol is a career made by you, with purpose, development opportunities, benefits to support every stage of life and a working culture that embraces flexibility, diversity,

Purpose of Job
As a Data Scientist at Sasol, you will drive digital transformation initiatives for Sasol’s global Chemicals business. In this role, you will leverage advanced data-driven techniques to enhance business performance. With your exp...",-1,10000+ Employees,1950,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD),-1
Data Scientist,N-able,United States,-1,3.9,"Why N-able:
At N-able, we’re not just helping businesses be secure —we’re redefining what it means to be cyber resilient. Our end-to-end platform blends AI-powered capabilities and flexible tech stacks, so customers can manage, secure, and recover with confidence. But the real power behind it all? Our people. We’re a global crew of N-ablites, who love solving complex problems, sharing knowledge, and delivering solutions that actually make a difference. If you're into meaningful work, fast growth...",-1,1001 to 5000 Employees,--,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
Data Scientist I - Early Careers,Wayfair,"Boston, MA",$94K - $99K (Employer provided),3.0,"Fall 2025 Start Dates
Location: Boston, MA
Additional Details:
This is a Boston based opportunity with a 4 day in office expectation.
At this time, Wayfair will not sponsor applicants for employment authorization for this position for the following work visas: STEM OPT EAD, H-1B, H-1B1, E-3, O-1, J-1, or TN.
The salary range for this position is $94,000 - $99,000 per year. The base salary offered may vary depending on location, job-related knowledge, skills, and experience
Wayfair is continuing ...",-1,10000+ Employees,2002,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$5 to $10 billion (USD),-1
Data Scientist,"Modern Technology Solutions, Inc","Springfield, VA",$101K - $153K (Glassdoor est.),4.7,"Modern Technology Solutions Incorporated (MTSI) is seeking a talented Data Scientist to join our team in developing and applying advanced data science techniques to support the Department of Defense (DoD) and Intelligence Community (IC). This position will focus heavily on artificial intelligence (AI) and machine learning (ML) image processing capabilities, emphasizing innovation and impactful research and development (R&D) efforts.

Key Responsibilities:
Apply advanced AI/ML techniques to image...",-1,1001 to 5000 Employees,1993,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),-1
Data Scientist II,Divisions Maintenance Group,"Cincinnati, OH",-1,2.4,"Title: Data Scientist II
Reports To: Director of Engineering
Department: Product & Engineering
Location: Cincinnati, OH or Seattle, WA
Position Status: Salary Exempt

About DMG:
Divisions Maintenance Group provides facility maintenance services to retail chains and distribution and fulfillment centers across the country.

We are leading the way with our technology, creating world-class products that are revolutionizing the industry and fulfilling our brand promise of “Uninterrupted Peace of Mind...",-1,1001 to 5000 Employees,1999,Company - Private,Building & Personnel Services,Management & Consulting,$500 million to $1 billion (USD),-1
Data Scientist,SURVICE Engineering Company,"Aberdeen Proving Ground, MD",$105K - $130K (Employer provided),4.1,"Join Us in Making a Difference in the Lives of Those Defending Our Nation!
Why SURVICE?
Come join the SURVICE Engineering mission to protect, enhance, and enable those who defend the United States. Since 1981, we have supported the DoD community, as well as Homeland Security, advanced technologies, environmental, and commercial markets. Our employees have backgrounds in engineering, physics, mathematics, chemistry, computer science, acquisition, technical writing, training, and other technical a...",-1,201 to 500 Employees,1981,Company - Private,Aerospace & Defense,Aerospace & Defense,$5 to $25 million (USD),-1
Senior Product Data Scientist,PayPal,"San Jose, CA",$124K - $213K (Employer provided),3.6,"The Company
PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving money, selling, and shopping simple, personalized, and secure, PayPal empowers consumers and businesses in approximately 200 markets to join and thrive in the global economy.

We operate a global, two-sided network at scale that connects hundreds of millions of merchants and consumers. We help merchants and consumers connect, transact, and complete payments, whet...",-1,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),-1
Data Scientist,RELX,Minnesota,$77K - $129K (Employer provided),3.9,"About the Business:
LexisNexis Risk Solutions is the essential partner in the assessment of risk. Within our Business Services vertical, we offer a multitude of solutions focused on helping businesses of all sizes drive higher revenue growth, maximize operational efficiencies, and improve customer experience. Our solutions help our customers solve difficult problems in the areas of Anti-Money Laundering/Counter Terrorist Financing, Identity Authentication & Verification, Fraud and Credit Risk mi...",-1,10000+ Employees,1880,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),-1
AI/ML Scientist – Operational Twinning & Healthcare Optimization,Siemens Healthineers,"Princeton, NJ",$154K - $232K (Employer provided),4.0,"Join us in pioneering breakthroughs in healthcare. For everyone. Everywhere. Sustainably.

Our inspiring and caring environment forms a global community that celebrates diversity and individuality. We encourage you to step beyond your comfort zone, offering resources and flexibility to foster your professional and personal growth, all while valuing your unique contributions.
Join Siemens Healthineers’ Digital Technology & Innovation (DTI) organization as an AI/ML Scientist – Operational Twinning...",-1,10000+ Employees,1847,Company - Public,Biotechnology,Pharmaceutical & Biotechnology,$10+ billion (USD),-1
"Sr Data Scientist, Pricing Analytics (OR/Optimization)",Home Depot / THD,"Atlanta, GA",$109K - $144K (Glassdoor est.),3.8,"Position Purpose:
The Sr. Data Scientist is responsible for leading data science initiatives that drive business profitability, increased efficiencies and improved customer experience. This role assists in the development of the Home Depot advanced analytics infrastructure that informs decision making. Sr. Data Scientists are expected to seek out business opportunities to leverage data science as a competitive advantage. Based on the specific data science team, this role would need to be profici...",-1,10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),-1
Data Scientist / Engineer,Shift Technology,"Boston, MA",$90K - $100K (Employer provided),4.1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Data Scientist, Growth","Grammarly, Inc.","San Francisco, CA",$225K - $275K (Employer provided),3.5,"Superhuman offers a dynamic hybrid working model for this role. This flexible approach gives team members the best of both worlds: plenty of focus time along with in-person collaboration that helps foster trust, innovation, and a strong team culture.
Superhuman team members in this role need to be located within the San Francisco Bay Area.
About Superhuman
Grammarly is now part of Superhuman, the AI productivity platform on a mission to unlock the superhuman potential in everyone. The Superhuman...",-1,1001 to 5000 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1
Senior Data Scientist - Insights and Analytics,Apple,"Austin, TX",$139K - $184K (Glassdoor est.),4.1,"Hardware Engineering is seeking a Senior Data Scientist to answer critical business questions through rigorous analysis of data engineering outputs, delivering intelligence that drives strategic decision-making. The ideal candidate brings expertise in data analytics and a passion for data storytelling. You'll have the autonomy to shape analytics strategy across workforce planning and operations, working with leadership to inform high-stakes organizational decisions. This role offers the opportun...",-1,10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),-1
Data Scientist – Machine Learning Focus,Adidev Technologies Inc,"San Jose, CA",$107K - $171K (Glassdoor est.),3.8,"Role: Data Scientist – Machine Learning Focus
(This role is open to US Citizens, Green Card holders, GC-EAD only. We do not sponsor visas.)

Adidev Technologies Inc
www.adidevtechnologies.com
Adidev Technologies is seeking 2 yrs of relevant experience in Data Science. A project can last anywhere from 6 months to 18 months. Salary varies depending on experience, and we are in search of candidates looking to start as soon as possible. Excellent written and oral communication are required as is the...",-1,Unknown,--,Company - Public,--,--,Unknown / Non-Applicable,-1
Data Scientist,Oracle,United States,-1,3.7,"Develops robust algorithms, automated processes, and software programs to cleanse, integrate, and evaluate diverse datasets from multiple sources. Utilizes machine learning techniques to build predictive models and generate insights that drive business value. Translates complex data findings into clear, impactful insights and communicates results effectively to product, service, and business managers. Implements tools and frameworks to operationalize insights and ML models into scalable solution...",-1,10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),-1
Data Scientist 1,Denso,"Southfield, MI",$78K - $98K (Employer provided),3.7,"JOB SUMMARY:
Under general supervision, applies knowledge of statistics, machine learning, programming, data modeling and advanced mathematics to recognize patterns, identify opportunities, pose business questions and make valuable discoveries leading to increased efficiency and productivity. Analysis focuses on product warranty related data sets that may be applied to various areas of the business (e.g, Manufacturing, Design, Marketing/Advertising, etc.).
ESSENTIAL DUTIES AND RESPONSIBILITIES:
...",-1,10000+ Employees,1949,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),-1
Senior Data Scientist I,LexisNexis,"Raleigh, NC",$93K - $156K (Employer provided),3.7,"{Empty}

U.S. National Base Pay Range: $93,400 - $155,700. Geographic differentials may apply in some locations to better reflect local market rates.
This job is eligible for an annual incentive bonus.
We know that your wellbeing and happiness are key to a long and successful career. These are some of the benefits we are delighted to offer: Health Benefits: Comprehensive, multi-carrier program for medical, dental and vision benefits Retirement Benefits: 401(k) with match and an Employee Share Pu...",-1,10000+ Employees,1973,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),-1
Artificial Intelligence/ Machine Learning Engineer,Skyworks,"Irvine, CA",$91K - $177K (Employer provided),3.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
Machine Learning- Data Scientist,AVER,United States,-1,3.9,-1,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,Dark Wolf Solutions,"Tampa, FL",$130K - $200K (Employer provided),4.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,Dana-Farber Cancer Institute,"Boston, MA",$134K - $138K (Employer provided),4.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,"Avosys Technology, Inc.","Dayton, OH",$63K - $103K (Glassdoor est.),2.8,-1,-1,-1,-1,-1,-1,-1,-1,-1
ML/LLM Engineer – Applied AI,Autonomize AI,"Austin, TX",$78K - $125K (Glassdoor est.),4.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,LiveRamp,"San Francisco, CA",$124K - $155K (Employer provided),3.4,-1,-1,-1,-1,-1,-1,-1,-1,-1
Senior Data Scientist,Voloridge,"Jupiter, FL",-1,4.3,-1,-1,-1,-1,-1,-1,-1,-1,-1
Nuuly Senior Data Scientist,Nuuly,"Philadelphia, PA",$112K - $159K (Glassdoor est.),3.3,-1,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,Jhex.inc,"Seattle, WA",$100K - $120K (Employer provided),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"AI Lab: Applied Scientist, Analyst","Morgan, Lewis & Bockius","San Francisco, CA",$81K - $129K (Employer provided),4.1,"Morgan Lewis is recognized for exceptional client service, legal innovation, and commitment to its communities. Our global depth reaches across North America, Asia, Europe, and the Middle East with the collaboration of more than 2,200 lawyers and specialists who provide elite legal services across industry sectors for multinational corporations to startups around the world.
The Morgan Lewis AI Lab is seeking an Applied Scientist (Analyst level) to help design, develop, and optimize AI solutions ...",-1,1001 to 5000 Employees,1873,Company - Private,Legal,Legal,$1 to $5 billion (USD),-1
Data Scientist,APR Supply co.,"Lebanon, PA",-1,3.7,"About APR Supply Co.
APR Supply Co. is a century-strong leader in the HVAC and Plumbing distribution industry — and we’re redefining how data powers our business. As part of our ongoing digital transformation, we’re building a modern, AI-enabled data platform centered on Microsoft Fabric to unlock intelligent insights, automate operations, and elevate customer experience.
We’re seeking an accomplished Data Scientist to help architect and advance this platform—integrating structured and unstructu...",-1,201 to 500 Employees,1922,Company - Private,Wholesale,Retail & Wholesale,$100 to $500 million (USD),-1
Data Scientist,eureka strategic consulting,"Columbia, MD",$105K - $157K (Glassdoor est.),-1,"Requires strong understanding of statistical analysis and mathematical analysis; any one combination of Python or R; knowledge and understanding of data modeling and visualization; understanding of graph theory, and application of graph database and modeling; and able to develop cloud analytics and machine learning algorithms. Must be able to communicate effectively with customers, understand requirements and translate necessary features into a model and explain model results. Prefer experience ...",-1,1 to 50 Employees,--,Company - Private,--,--,$1 to $5 million (USD),-1
Data Scientist - Fraud Strategy,Trisian-Global Consulting LLC,"San Jose, CA",$132K - $190K (Glassdoor est.),-1,"Position: Data Scientist - Fraud Strategy - 12 month Contract
Trisian-Global Consulting LLC is seeking a highly skilled and experienced Data Scientist for a 12 month contract in San Jose, California. Hybrid environment, must be local to San Jose.
NO Sponsorship, C2C, H1B, OPT etc - must be USC or Green Card Holder for W2 Engagement with Client.
As a Data Scientist, you will be responsible for developing and implementing data-driven strategies to identify and prevent fraud for our clients. You wi...",-1,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,-1
Data Scientist,Fulton Bank,"Lancaster, PA",$99K - $165K (Employer provided),2.9,"Value Proposition:
Our values define us and our culture inspires us to change lives for the better. Our employees are the heart and soul of our company, and every success we experience begins with them. Together we are committed to making a positive impact in our local communities. We champion a culture of continuous learning, work-life integration, and inclusion. We promote a digitally enabled work environment to continuously enhance the experience of our employees and customers.
Overview:
This...",-1,1001 to 5000 Employees,1882,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),-1
Data Scientist – LLMs & Applied AI,Intone Networks,"Charlotte, NC",-1,4.1,"Data Scientist – LLMs & Applied AI Hybrid What Manager DISLIKES ON RESUME: • Generic ML experience without any LLM, agentic, or applied AI work. • Heavy reliance on low-code/no-code ML platforms without demonstrated software engineering capability. • Lack of hands-on involvement in end-to-end model deployment or evaluation.",-1,201 to 500 Employees,--,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),-1
Data Scientist II - ML Engineer-AI Assurance,Pacific Northwest National Laboratory,"Seattle, WA",$112K (Employer provided),3.7,-1,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist I- Windreich Department for Artificial Intelligence & Human Health,Mount Sinai,"New York, NY",$109K - $164K (Employer provided),3.5,"Description
We are seeking a skilled Data Scientist I to join our team in the SinAI Assurance Lab. The position will play a key role in Machine Learning Operations and be responsible for validation, monitoring, and governance of AI models across clinical workflows at the Mount Sinai Health System. This role will ensure that these models meet Mount Sinai’s high standards for safety, equity, and real-world performance.
You will work in partnership with the AI Governance Committee, product owners, ...",-1,10000+ Employees,2013,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),-1
Data Scientist,Microsoft,"Redmond, WA",$101K - $215K (Employer provided),4.1,"The Digital Direct Sales (DDS) team at Microsoft is a global eCommerce organization that helps consumers and very small businesses discover, learn, and buy Microsoft products. Operating in over 120 countries, DDS combines data-driven insights, experimentation, and personalization to deliver intelligent, adaptive shopping experiences. We engage customers throughout their digital journeys, driving emotional connection, business growth, and innovation at scale. We are seeking a highly skilled and s...",-1,10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),-1
Staff I Data Scientist,VTG,"Manassas, VA",$113K - $151K (Glassdoor est.),3.7,"Overview:
VTG is seeking a Staff I Data Scientist to support our Team in Manassas, VA. The Data Scientist will design, prototype, and implement a data management and application development pipeline in support of national defense data science and data architecture prototyping tasks. This role will also include gathering and organizing data, conducting data analytics, and developing data analytic and AI/ML based applications. This is a hybrid role.

Responsibilities:
The Data Scientist will work ...",-1,1001 to 5000 Employees,1866,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1
Senior Data Scientist,Tendo,"San Francisco, CA",$128K - $173K (Employer provided),2.8,"The Senior Data Scientist will support Tendo analytics projects focused on quality management and risk adjustment. The person in this role will access data from multiple sources (public and private) and translate it into information that is meaningful and actionable for health systems. The Senior Data Scientist develops, maintains, and enhances predictive models that improve products in several areas including, but not limited to quality, risk, and operational efficiency. We're looking for someo...",-1,51 to 200 Employees,2020,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,Booz Allen,"Honolulu, HI",$78K - $176K (Employer provided),4.0,-1,-1,-1,-1,-1,-1,-1,$5 to $10 billion (USD),-1
Senior AI/ML Applied Scientist - Generative AI,SAP,"Palo Alto, CA",$121K - $297K (Employer provided),4.2,-1,-1,-1,-1,-1,-1,-1,-1,-1
Market Data Scientist,ISO New England Inc.,"Holyoke, MA",$82K - $113K (Employer provided),4.3,"ISO New England is the independent system operator responsible for ensuring the safe and reliable flow of electricity in our region and planning for the future of the electric grid. We are at the forefront of New England’s ongoing transition to clean energy.

We seek motivated individuals to join the Market Development team. Our job is to lead projects that integrate new technologies into competitive electricity markets and help facilitate the region’s clean energy transition. We work as a team,...",-1,501 to 1000 Employees,1997,Nonprofit Organization,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,-1
Data Scientist,Ford Motor Company,"Dearborn, MI",$98K - $130K (Glassdoor est.),3.9,"In Global Data Insight & Analytics (GDIA), we aspire to navigate Ford Motor Company through the disruptiveness of the information age, harnessing the power of data and artificial intelligence to realize the enterprise’s known goals, reveal hidden opportunities, and achieve data superiority.
The GDIA complexity Analytics team develops data products, analytic software and provides insights to a broad range of skill teams and delivers value to Ford using critical thinking, artificial intelligence (...",-1,10000+ Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),-1
Marketing Data Scientist,webuyanycar.com USA,"Springfield, PA",$73K - $120K (Glassdoor est.),3.8,"Job Description

Check out what we have for you….
Earn a competitive salary, plus grow your retirement savings with our 401k plan featuring company match!
Access top-notch medical, dental, and vision benefits, including Telemedicine.
Boost your health with our wellness program and incentives.
Enjoy peace of mind with company-paid life insurance.
Celebrate with company-paid holidays and other paid time off.
Take advantage of Parental Leave to care for your family.
Benefit from exclusive employee ...",-1,201 to 500 Employees,2011,Company - Public,Vehicle Dealers,Retail & Wholesale,$500 million to $1 billion (USD),-1
Data Scientist,"Sony Pictures Entertainment, Inc.","Culver City, CA",$100K - $130K (Employer provided),3.8,"Sony Pictures Entertainment (SPE) is home to some of the world’s most beloved films and television series. From Cobra Kai to The Night Agent, our content reaches millions worldwide. Behind the scenes, our Insights, Strategy & Analytics (ISA) team empowers storytellers and business leaders with data-driven insights to shape the future of entertainment.
We’re looking for a Manager Data Scientist to join our growing team. You’ll work on high-impact projects that combine advanced analytics, machine ...",-1,5001 to 10000 Employees,1989,Subsidiary or Business Segment,Film Production,Media & Communication,$5 to $10 billion (USD),-1
Senior Data Scientist I,LexisNexis,"Raleigh, NC",$93K - $156K (Employer provided),3.7,"Job Description
Do you want to help us build further data science capabilities?

And are you eager to work on the quality of data sources serving our end-user products?

About our Team

LexisNexis Legal & Professional, which serves customers in more than 150 countries with 11,300 employees worldwide, is apart of RELX, a global provider of information-based analytics and decision tools for professional and business customers.

About the Role












U.S. National Base Pay Range: $93,400 - $15...",-1,10000+ Employees,1973,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),-1
"Senior, Data Scientist",Walmart,"Bentonville, AR",$90K - $234K (Employer provided),3.4,"Position Summary...
What you'll do...
We are seeking a highly skilled and strategic Senior Data Scientist to join our Marketplace Payments & Financial Services team. In this role, you will drive data driven decision making and develop advanced models that power key financial products such as working capital, faster payouts, manages risk related to seller payouts and other seller-facing financial services.
You will partner closely with Product, Engineering, Risk, and Business stakeholders to deli...",-1,10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD),-1
"Data Scientist, Ads - USDS",TikTok,"San Jose, CA",$144K - $329K (Employer provided),3.2,"Technology

Data Scientist, Ads - USDS

Location
:

San Jose

Employment Type
:

Regular

Job Code
:

A59369

Responsibilities

About the team
About The Tiktok Monetization Product Data Science Team
We're the TikTok Monetization Products data science team, who enables and champions data driven decision making. Our Vision is to become the world class data science team, where data is used rigorously to drive all decision making. Our Mission is to drive monetization and sustainable revenue growth f...",-1,10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1
Data Scientist Senior (MRA),Elevance Health,"Atlanta, GA",$115K - $160K (Glassdoor est.),3.4,"Data Scientist Senior (MRA)
Location: This role requires associates to be in-office 1 day per week, fostering collaboration and connectivity, while providing flexibility to support productivity and work-life balance. This approach combines structured office engagement with the autonomy of virtual work, promoting a dynamic and adaptable workplace. Ideal candidates will be able to report to one of our Pulse Point locations in Norfolk, VA, Mason, OH, Atlanta, GA, Wallingford, CT or Indianapolis, IN...",-1,10000+ Employees,2004,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),-1
Data Scientist,Family Dollar,"Chesapeake, VA",$80K - $121K (Glassdoor est.),2.9,"Job Title: Data Scientist – Predictive Supply Chain Modeling
Overview
At Family Dollar, we strive for exceptional collaboration between talented individuals who exhibit our values and execute our mission. Everything we do starts with our people. We are looking for people who offer inspiration, innovation and have an internal drive for results.
We are seeking a Data Scientist with strong expertise in analytics, machine learning, and data engineering to support and optimize our end-of-the-end supp...",-1,10000+ Employees,1959,Company - Private,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD),-1
